epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9148,1.35551,4.09479,1.37094,0.01175,0.86224,0.23557,0.17652,0.81545,3.98381,0.99937,0.000181551,0.000181551,0.000181551
2,33.044,1.20007,2.68564,1.23347,0.59579,0.3627,0.45999,0.3212,0.97316,3.10085,1.14162,0.000364463,0.000364463,0.000364463
3,48.7966,1.16987,2.17862,1.19141,0.48701,0.71171,0.52252,0.30463,1.26203,2.77227,1.26164,0.000544928,0.000544928,0.000544928
4,63.1947,1.1119,1.99138,1.18358,0.49068,0.7769,0.68558,0.48539,1.01532,2.15727,1.15079,0.000544991,0.000544991,0.000544991
5,78.6355,1.08808,1.82689,1.16927,0.62314,0.66599,0.72706,0.50011,1.20148,2.4577,1.26982,0.000541322,0.000541322,0.000541322
6,93.7589,1.07951,1.75058,1.16459,0.70924,0.67589,0.72434,0.54394,0.92292,1.83937,1.13234,0.000537652,0.000537652,0.000537652
7,108.909,1.04997,1.58762,1.15202,0.67727,0.9221,0.8635,0.63864,0.86269,1.60884,1.14588,0.000533982,0.000533982,0.000533982
8,124.16,1.01182,1.47291,1.11917,0.61701,0.83194,0.81594,0.62399,0.8513,1.51066,1.07185,0.000530313,0.000530313,0.000530313
9,138.759,1.01784,1.43621,1.1335,0.75784,0.86869,0.90234,0.6919,0.85867,1.45884,1.09772,0.000526643,0.000526643,0.000526643
10,153.782,0.98893,1.31356,1.11374,0.806,0.87754,0.9154,0.67586,0.90682,1.35662,1.09507,0.000522974,0.000522974,0.000522974
11,168.289,0.97673,1.30203,1.12565,0.83178,0.91045,0.94133,0.71627,0.85913,1.31569,1.05489,0.000519304,0.000519304,0.000519304
12,183.323,0.9509,1.21399,1.10167,0.81634,0.87203,0.93356,0.7312,0.75729,1.16203,1.03653,0.000515634,0.000515634,0.000515634
13,198.47,0.94507,1.20528,1.09134,0.78629,0.91333,0.92613,0.64695,1.0161,1.29468,1.20194,0.000511965,0.000511965,0.000511965
14,212.666,0.95498,1.13698,1.10232,0.86217,0.89741,0.95785,0.72953,0.81618,1.08453,1.07226,0.000508295,0.000508295,0.000508295
15,227.514,0.92083,1.06697,1.07653,0.83711,0.87246,0.94055,0.70477,0.8098,1.10029,1.04405,0.000504626,0.000504626,0.000504626
16,241.337,0.92121,1.13099,1.08573,0.8952,0.90548,0.96275,0.78387,0.71994,1.04,1.01212,0.000500956,0.000500956,0.000500956
17,257.242,0.89432,1.00729,1.07834,0.89282,0.95379,0.98482,0.79525,0.81101,0.95255,1.05442,0.000497286,0.000497286,0.000497286
18,272.133,0.89982,0.98659,1.07308,0.9142,0.95027,0.97606,0.73151,0.80335,0.96309,1.0496,0.000493617,0.000493617,0.000493617
19,286.7,0.88978,0.95069,1.0604,0.91513,0.96938,0.98535,0.79228,0.70886,0.84195,1.00102,0.000489947,0.000489947,0.000489947
20,301.085,0.86322,0.93312,1.05865,0.94379,0.94696,0.98781,0.76602,0.78202,0.81873,1.01824,0.000486278,0.000486278,0.000486278
21,316.31,0.87996,0.90128,1.06145,0.91333,0.97805,0.98741,0.74762,0.84538,0.838,1.03685,0.000482608,0.000482608,0.000482608
22,330.325,0.87431,0.93089,1.06147,0.87823,0.95095,0.98956,0.76614,0.81709,0.84801,1.04403,0.000478938,0.000478938,0.000478938
23,344.921,0.83301,0.84588,1.04556,0.89813,0.93937,0.98454,0.79666,0.71709,0.73613,0.996,0.000475269,0.000475269,0.000475269
24,360.304,0.83896,0.82927,1.03697,0.9322,0.95956,0.9838,0.78793,0.7064,0.78182,0.99384,0.000471599,0.000471599,0.000471599
25,375.2,0.84491,0.85189,1.04854,0.92533,0.93931,0.98707,0.75273,0.7581,0.8264,1.01633,0.00046793,0.00046793,0.00046793
26,390.143,0.82676,0.82885,1.03332,0.91681,0.96586,0.98787,0.78223,0.76029,0.71951,1.01947,0.00046426,0.00046426,0.00046426
27,405.144,0.84891,0.80302,1.03372,0.94096,0.96671,0.99248,0.77439,0.74277,0.72203,0.98362,0.00046059,0.00046059,0.00046059
28,419.569,0.83201,0.81388,1.0308,0.93346,0.95115,0.97847,0.77412,0.71544,0.72554,0.98792,0.000456921,0.000456921,0.000456921
29,434.359,0.81725,0.78327,1.041,0.94509,0.94034,0.98811,0.7983,0.69614,0.67283,0.98557,0.000453251,0.000453251,0.000453251
30,449.597,0.81525,0.77902,1.03107,0.96184,0.94893,0.98738,0.81764,0.65668,0.6242,0.9846,0.000449582,0.000449582,0.000449582
31,465.016,0.8086,0.75496,1.02528,0.95756,0.97426,0.98977,0.81929,0.68669,0.59831,0.98625,0.000445912,0.000445912,0.000445912
32,479.847,0.80142,0.73024,1.02236,0.96808,0.96373,0.99325,0.76479,0.77578,0.63634,1.01257,0.000442242,0.000442242,0.000442242
33,493.742,0.77818,0.7359,1.00731,0.91465,0.9626,0.97175,0.79829,0.64252,0.64155,0.96742,0.000438573,0.000438573,0.000438573
34,508.273,0.78522,0.72147,1.02006,0.95038,0.93567,0.98023,0.81509,0.61205,0.62812,0.96225,0.000434903,0.000434903,0.000434903
35,522.273,0.78259,0.72031,1.02653,0.94532,0.97775,0.98841,0.81647,0.69448,0.58084,1.00322,0.000431234,0.000431234,0.000431234
36,537.022,0.78773,0.71266,1.0213,0.93286,0.95808,0.98837,0.82654,0.62373,0.58563,0.96032,0.000427564,0.000427564,0.000427564
37,551.678,0.79066,0.69738,1.02143,0.93766,0.96792,0.98076,0.8044,0.63064,0.59878,0.96896,0.000423894,0.000423894,0.000423894
38,566.101,0.75568,0.68014,1.0029,0.94416,0.96235,0.98648,0.81708,0.68564,0.64184,0.98323,0.000420225,0.000420225,0.000420225
39,580.678,0.74386,0.66726,1.00807,0.95887,0.96145,0.99049,0.82374,0.6235,0.58214,0.96059,0.000416555,0.000416555,0.000416555
40,594.888,0.73057,0.67875,1.00817,0.96857,0.96314,0.98713,0.81342,0.65493,0.56814,0.95924,0.000412886,0.000412886,0.000412886
41,609.46,0.73488,0.67035,0.99742,0.95937,0.95446,0.98919,0.83029,0.57401,0.54868,0.94228,0.000409216,0.000409216,0.000409216
42,624.278,0.73198,0.65703,0.99073,0.92685,0.95842,0.98135,0.83226,0.58942,0.56271,0.95495,0.000405546,0.000405546,0.000405546
43,639.48,0.73293,0.63408,0.98945,0.96663,0.97265,0.9875,0.80837,0.64391,0.52318,0.9856,0.000401877,0.000401877,0.000401877
44,653.89,0.73021,0.65128,0.9946,0.9458,0.95545,0.97999,0.83412,0.59072,0.53934,0.95408,0.000398207,0.000398207,0.000398207
45,669.049,0.73328,0.61916,0.99361,0.95365,0.93786,0.98703,0.82784,0.5911,0.54934,0.95096,0.000394538,0.000394538,0.000394538
46,683.459,0.72646,0.64187,0.98828,0.96267,0.93764,0.98764,0.84213,0.57665,0.52751,0.94152,0.000390868,0.000390868,0.000390868
47,698.728,0.70389,0.62294,0.98236,0.92642,0.95234,0.99134,0.82461,0.59942,0.50694,0.93848,0.000387198,0.000387198,0.000387198
48,712.79,0.71843,0.6212,0.98423,0.95576,0.97265,0.99067,0.84283,0.58878,0.46803,0.96042,0.000383529,0.000383529,0.000383529
49,727.959,0.71607,0.60522,0.97916,0.96184,0.95041,0.98859,0.83047,0.62484,0.50555,0.95733,0.000379859,0.000379859,0.000379859
50,742.758,0.7229,0.62076,0.98143,0.95519,0.97093,0.98973,0.86214,0.56776,0.49739,0.94282,0.00037619,0.00037619,0.00037619
51,757.77,0.71261,0.59512,0.98782,0.93707,0.95,0.98888,0.83851,0.63187,0.5036,0.96764,0.00037252,0.00037252,0.00037252
52,772.231,0.7017,0.58023,0.98002,0.94449,0.98408,0.9911,0.85117,0.61032,0.47474,0.96272,0.00036885,0.00036885,0.00036885
53,786.867,0.70143,0.57213,0.97771,0.93313,0.98539,0.9906,0.83365,0.65953,0.48495,0.98129,0.000365181,0.000365181,0.000365181
54,801.652,0.72029,0.59755,0.99213,0.94049,0.98777,0.99128,0.85092,0.59886,0.46097,0.96553,0.000361511,0.000361511,0.000361511
55,816.075,0.69423,0.59175,0.98505,0.9547,0.97955,0.98545,0.85148,0.55052,0.45713,0.93604,0.000357842,0.000357842,0.000357842
56,830.42,0.68057,0.58356,0.97084,0.94728,0.98211,0.98883,0.84183,0.59902,0.46137,0.95175,0.000354172,0.000354172,0.000354172
57,845.158,0.66329,0.5533,0.96693,0.95209,0.96966,0.98799,0.8497,0.57152,0.45359,0.92435,0.000350502,0.000350502,0.000350502
58,860.118,0.68916,0.59793,0.97814,0.95357,0.96977,0.98946,0.8403,0.57548,0.45718,0.94398,0.000346833,0.000346833,0.000346833
59,874.582,0.66546,0.55168,0.9637,0.96115,0.96144,0.98584,0.85991,0.53736,0.46637,0.9363,0.000343163,0.000343163,0.000343163
60,888.744,0.68539,0.55342,0.97457,0.95479,0.96531,0.98885,0.85353,0.54678,0.44458,0.91884,0.000339494,0.000339494,0.000339494
61,903.525,0.67445,0.55951,0.96856,0.96174,0.96051,0.98913,0.84157,0.5869,0.45088,0.93339,0.000335824,0.000335824,0.000335824
62,918.365,0.66275,0.5465,0.96959,0.95055,0.96343,0.9896,0.83721,0.59436,0.44328,0.94744,0.000332154,0.000332154,0.000332154
63,932.695,0.66809,0.53608,0.96771,0.94431,0.97121,0.99122,0.84651,0.5626,0.43846,0.93394,0.000328485,0.000328485,0.000328485
64,946.596,0.66788,0.54871,0.97745,0.93844,0.95479,0.98661,0.84812,0.5715,0.47751,0.94208,0.000324815,0.000324815,0.000324815
65,961.239,0.66743,0.53282,0.97748,0.96632,0.93818,0.99108,0.83845,0.5691,0.48434,0.94703,0.000321146,0.000321146,0.000321146
66,975.534,0.67624,0.53304,0.97515,0.96031,0.96657,0.99055,0.853,0.54788,0.42721,0.92696,0.000317476,0.000317476,0.000317476
67,989.726,0.63275,0.52091,0.95627,0.94414,0.98314,0.9917,0.84959,0.5884,0.43211,0.9533,0.000313806,0.000313806,0.000313806
68,1004.24,0.64452,0.53415,0.95777,0.96939,0.95788,0.99218,0.84601,0.58616,0.43102,0.94157,0.000310137,0.000310137,0.000310137
69,1019.34,0.64204,0.52807,0.96471,0.95375,0.94912,0.98505,0.86149,0.54623,0.46286,0.93401,0.000306467,0.000306467,0.000306467
70,1033.63,0.63501,0.51732,0.95477,0.95717,0.96637,0.98958,0.84959,0.55972,0.41508,0.92821,0.000302798,0.000302798,0.000302798
71,1048.53,0.65021,0.50683,0.96512,0.94746,0.97493,0.98998,0.85991,0.54563,0.41837,0.92643,0.000299128,0.000299128,0.000299128
72,1063.56,0.64248,0.504,0.95149,0.96001,0.97374,0.99012,0.86251,0.54492,0.4192,0.92874,0.000295458,0.000295458,0.000295458
73,1079.07,0.63249,0.50349,0.94319,0.9696,0.94705,0.99137,0.86438,0.53854,0.406,0.91865,0.000291789,0.000291789,0.000291789
74,1094.24,0.6146,0.49218,0.94673,0.94423,0.93878,0.9732,0.84818,0.54166,0.46468,0.92666,0.000288119,0.000288119,0.000288119
75,1109.14,0.63604,0.50972,0.95857,0.97387,0.97075,0.98954,0.85709,0.53239,0.40419,0.9238,0.00028445,0.00028445,0.00028445
76,1123.79,0.62209,0.49056,0.95339,0.9552,0.96605,0.98936,0.86988,0.5237,0.4096,0.91716,0.00028078,0.00028078,0.00028078
77,1139.01,0.63035,0.48503,0.95459,0.95325,0.97065,0.99105,0.86362,0.55097,0.41393,0.93435,0.00027711,0.00027711,0.00027711
78,1153.66,0.6263,0.49104,0.94414,0.96813,0.96557,0.98855,0.85347,0.54688,0.40023,0.92712,0.000273441,0.000273441,0.000273441
79,1168.3,0.59323,0.48549,0.92662,0.96361,0.96926,0.98921,0.85398,0.5528,0.41672,0.93232,0.000269771,0.000269771,0.000269771
80,1184.17,0.6143,0.48516,0.93837,0.95949,0.9597,0.99024,0.86172,0.55355,0.42159,0.92569,0.000266102,0.000266102,0.000266102
81,1199.34,0.62307,0.48218,0.9467,0.95803,0.97133,0.98561,0.85836,0.55646,0.41054,0.91963,0.000262432,0.000262432,0.000262432
82,1215.3,0.61844,0.49459,0.95578,0.97088,0.97561,0.99266,0.87475,0.51838,0.39485,0.92384,0.000258762,0.000258762,0.000258762
83,1231.13,0.59476,0.46622,0.94359,0.96701,0.95602,0.98741,0.85976,0.5554,0.41347,0.94069,0.000255093,0.000255093,0.000255093
84,1246.24,0.61067,0.47566,0.93191,0.94203,0.97724,0.9847,0.87771,0.50388,0.38998,0.91587,0.000251423,0.000251423,0.000251423
85,1261.85,0.5949,0.46251,0.94283,0.98256,0.96808,0.99031,0.86307,0.54275,0.37339,0.92433,0.000247754,0.000247754,0.000247754
86,1276.47,0.60007,0.46745,0.93836,0.96553,0.97418,0.98815,0.87074,0.52202,0.38069,0.91869,0.000244084,0.000244084,0.000244084
87,1291.66,0.58852,0.4639,0.9351,0.95208,0.96799,0.98569,0.86878,0.50793,0.38118,0.92563,0.000240414,0.000240414,0.000240414
88,1306.41,0.58851,0.45488,0.93555,0.96208,0.96532,0.99031,0.87149,0.51296,0.39826,0.92591,0.000236745,0.000236745,0.000236745
89,1321.66,0.59453,0.46275,0.93746,0.94982,0.97589,0.98844,0.8724,0.53167,0.39203,0.92439,0.000233075,0.000233075,0.000233075
90,1336.08,0.59027,0.45089,0.93495,0.95335,0.98025,0.99106,0.87876,0.49947,0.37547,0.90495,0.000229406,0.000229406,0.000229406
91,1351.49,0.60589,0.46809,0.9534,0.96988,0.97309,0.98901,0.87463,0.52525,0.37705,0.9186,0.000225736,0.000225736,0.000225736
92,1366.22,0.57119,0.44462,0.92726,0.95907,0.9614,0.99092,0.86024,0.53266,0.38539,0.91734,0.000222066,0.000222066,0.000222066
93,1380.61,0.58767,0.45652,0.93039,0.97303,0.9587,0.99125,0.86606,0.51977,0.38196,0.91258,0.000218397,0.000218397,0.000218397
94,1395.51,0.59244,0.44751,0.93088,0.94791,0.95937,0.98993,0.88318,0.52618,0.40107,0.91636,0.000214727,0.000214727,0.000214727
95,1410.32,0.56757,0.42584,0.91362,0.97727,0.97102,0.99038,0.86982,0.53055,0.37867,0.91685,0.000211058,0.000211058,0.000211058
96,1425.37,0.57419,0.44567,0.92825,0.97212,0.96,0.98985,0.87813,0.52993,0.36899,0.91602,0.000207388,0.000207388,0.000207388
97,1439.91,0.57329,0.44601,0.93004,0.97448,0.9654,0.99059,0.85987,0.54646,0.36949,0.9196,0.000203718,0.000203718,0.000203718
98,1455,0.57318,0.43401,0.93108,0.97372,0.97598,0.98582,0.87349,0.51444,0.37078,0.9081,0.000200049,0.000200049,0.000200049
99,1469.8,0.56609,0.45022,0.93101,0.969,0.97392,0.9848,0.86506,0.51855,0.37622,0.92381,0.000196379,0.000196379,0.000196379
100,1484.42,0.56427,0.42534,0.9233,0.9589,0.96526,0.98862,0.88472,0.48856,0.36557,0.9021,0.00019271,0.00019271,0.00019271
101,1499.8,0.57025,0.43356,0.93014,0.97367,0.97405,0.98854,0.88026,0.50059,0.36331,0.90565,0.00018904,0.00018904,0.00018904
102,1514.49,0.55416,0.42216,0.92485,0.97082,0.96885,0.99016,0.87737,0.50271,0.35897,0.90531,0.00018537,0.00018537,0.00018537
103,1528.88,0.55028,0.42199,0.92059,0.96758,0.96177,0.99094,0.88278,0.50212,0.35807,0.91288,0.000181701,0.000181701,0.000181701
104,1543.85,0.54479,0.41957,0.92054,0.972,0.96368,0.98985,0.8822,0.48742,0.35041,0.91327,0.000178031,0.000178031,0.000178031
105,1558.58,0.55598,0.42688,0.92877,0.96388,0.96411,0.987,0.87508,0.48334,0.35963,0.90597,0.000174362,0.000174362,0.000174362
